3.1.1,개인정보 수집∙이용,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",16,개인정보의 수집제한
3.1.2,개인정보 수집 제한,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",15,개인정보의 수집·이용
3.1.2,개인정보 수집 제한,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",22,동의를 받는 방법
3.1.3,주민등록번호 처리 제한,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,24.2,주민등록번호 처리의 제한
3.1.3,주민등록번호 처리 제한,정보통신망법,4,정보통신서비스의 안전한 이용환경 조성,,,23.2,주민등록번호의 사용 제한
3.1.4,민감정보 및 고유식별정보의 처리 제한,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,23,민감정보의 처리 제한
3.1.4,민감정보 및 고유식별정보의 처리 제한,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,24,고유식별정보의 처리 제한
3.1.5,개인정보 간접수집,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",16,개인정보의 수집 제한
3.1.5,개인정보 간접수집,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",19,개인정보를 제공받은 자의 이용·제공 제한
3.1.5,개인정보 간접수집,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",20,정보주체 이외로부터 수집한 개인정보의 수집 출처 등 고지
3.1.6,영상정보처리기기 설치∙운영 ,개인정보보호법,3,개인정보의 처리,2,개인정보의 처리 제한,25,영상정보처리기기의 설치·운영 제한
3.1.7,마케팅 목적의 개인정보 수집∙이용,개인정보보호법,3,개인정보의 처리,1,"개인정보의 수집, 이용, 제공 등",22,동의를 받는 방법
3.1.7,마케팅 목적의 개인정보 수집∙이용,정보통신망법,6,정보통신망의 안정성 확보 등,,,50,영리목적의 광고성 정보 전송 제한
3.2.1,개인정보 현황관리,개인정보보호법,4,개인정보의 안전한 관리,,,32,개인정보파일의 등록 및 공개
3.2.2,개인정보 품질보장,개인정보보호법,1,총칙,,,3,개인정보 보호 원칙
3.2.3,이용자 단말기 접근 보호,개인정보보호법,1,총칙,,,3,개인정보 보호 원칙
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.2,가명정보의 처리 등
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.3,가명정보의 결합 제한
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.4,가명정보에 대한 안전조치의무 등
3.2.3,이용자 단말기 접근 보호,개인정보보호법,3,개인정보의 처리,3,가명정보의 처리에 관한 특례,28.5,가명정보 처리 시 금지의무 등
